,Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (enrolled),Tuition fees up to date,Scholarship holder,Target
794,6,12.166666666666666,6,1,1,2
795,6,14.166666666666666,6,1,1,2
796,9,13.22222222222222,9,1,0,2
797,8,12.95,8,1,0,2
798,6,13.666666666666666,6,1,1,2
799,4,12.75,6,1,0,1
800,4,12.0,6,0,1,1
801,0,0.0,6,0,0,0
802,5,12.2,5,1,0,2
803,6,14.0,6,1,0,2
804,7,14.285714285714286,7,1,0,2
805,3,10.0,5,1,0,1
806,6,12.166666666666666,6,1,1,2
807,4,13.0,6,0,0,1
808,0,0.0,6,1,0,0
809,6,11.5,6,1,0,1
810,0,0.0,6,0,1,0
811,6,13.666666666666666,7,1,1,2
812,8,13.627777777777778,8,1,1,2
813,8,14.144444444444444,8,1,0,2
814,7,15.0,7,1,0,2
815,3,12.666666666666666,5,1,0,1
816,6,11.5,6,1,0,1
817,6,12.833333333333334,6,1,0,2
818,7,13.164285714285716,8,0,1,1
819,6,12.833333333333334,6,1,0,2
820,4,11.6,5,1,1,2
821,0,0.0,0,1,0,2
822,6,13.2,7,1,0,1
823,6,13.285714285714286,6,1,1,2
824,6,11.5,6,1,1,2
825,5,14.0,6,1,0,2
826,6,13.166666666666666,7,1,0,0
827,6,15.333333333333334,6,1,1,2
828,8,14.25,8,1,0,2
829,0,0.0,6,1,0,0
830,6,11.0,6,1,0,0
831,0,0.0,5,1,0,0
832,2,12.5,5,1,0,1
833,1,10.0,6,1,0,0
834,0,0.0,5,1,0,0
835,2,11.0,5,1,0,1
836,4,10.75,5,1,0,0
837,2,13.5,7,1,0,1
838,0,0.0,5,0,0,0
839,5,12.4,5,1,0,2
840,0,0.0,5,0,0,0
841,4,14.0,5,0,0,1
842,0,0.0,5,0,0,0
843,6,14.016666666666666,7,1,0,2
844,5,10.8,6,1,0,2
845,0,0.0,0,0,1,0
846,5,12.0,5,1,0,2
847,4,10.25,5,1,0,2
848,5,12.714285714285714,5,1,0,1
849,8,14.10625,8,1,1,2
850,7,12.82375,8,1,0,2
851,4,11.25,6,1,0,1
852,6,14.166666666666666,6,1,1,2
853,7,13.842857142857143,8,1,1,2
854,0,0.0,5,0,0,1
855,0,0.0,6,1,0,0
856,6,13.833333333333334,6,1,0,0
857,0,0.0,6,1,0,0
858,0,0.0,5,1,0,0
859,2,10.0,6,1,0,0
860,3,13.25,5,1,0,0
861,0,0.0,5,0,0,0
862,7,12.142857142857142,9,1,0,0
863,2,14.5,6,0,0,0
864,6,13.5,6,0,0,0
865,8,15.055555555555555,8,1,1,2
866,0,0.0,5,1,0,0
867,0,0.0,5,1,1,0
868,5,12.8,6,1,0,2
869,0,0.0,0,1,0,2
870,6,12.5,6,1,0,2
871,2,13.0,5,1,0,0
872,10,11.583333333333334,11,1,0,2
873,6,11.583333333333334,8,1,1,1
874,4,14.5,6,1,0,2
875,8,12.233333333333333,8,1,1,2
876,5,11.0,6,1,1,0
877,0,0.0,7,1,1,0
878,5,11.6,5,1,0,2
879,7,12.142857142857142,9,1,0,0
880,5,13.2,6,1,1,2
881,0,0.0,0,1,0,2
882,0,0.0,6,0,0,0
883,6,11.428571428571429,10,0,0,0
884,7,12.599999999999998,8,1,1,2
885,9,12.333333333333334,10,1,0,2
886,6,13.0,6,1,0,2
887,7,11.0,7,1,1,2
888,8,15.35,8,1,1,2
889,4,11.25,6,1,1,2
890,6,14.666666666666666,6,1,0,2
891,0,0.0,0,0,0,0
892,7,14.428571428571429,8,1,1,2
893,0,0.0,5,0,0,0
894,13,12.461538461538462,13,1,0,2
895,1,13.0,5,0,0,0
896,6,13.0,6,1,0,2
897,11,12.545454545454543,12,1,1,2
898,4,11.0,6,1,0,1
899,6,14.0,6,1,1,2
900,2,14.0,5,1,0,0
901,5,11.2,6,1,1,2
902,8,12.8875,8,1,0,2
903,6,12.95,7,1,1,2
904,0,0.0,5,1,0,0
905,8,12.55,8,1,1,2
906,0,0.0,6,1,0,0
907,6,11.0,6,1,1,2
908,3,10.0,6,1,0,1
909,0,0.0,0,1,0,0
910,6,13.333333333333334,6,1,0,2
911,5,13.4,5,1,0,2
912,2,11.0,5,0,0,0
913,6,12.0,6,1,0,2
914,0,0.0,8,1,0,0
915,6,13.666666666666666,6,1,0,2
916,0,0.0,5,1,0,0
917,0,0.0,6,1,0,0
918,6,15.0,6,1,0,2
919,6,12.333333333333334,6,1,1,2
920,5,10.4,6,1,1,2
921,6,11.5,6,1,1,2
922,4,12.25,6,1,0,0
923,2,10.5,7,0,1,0
924,3,11.333333333333334,5,1,0,1
925,6,13.7,7,1,1,2
926,0,0.0,5,1,0,0
927,6,12.166666666666666,7,1,0,1
928,0,0.0,6,1,0,1
929,0,0.0,6,1,0,0
930,2,12.5,5,1,0,1
931,7,13.285714285714286,7,1,1,2
932,8,15.11111111111111,8,1,0,2
933,2,11.5,5,1,0,0
934,7,11.705714285714285,8,1,0,1
935,11,14.333333333333334,11,1,0,2
936,1,10.0,7,1,0,0
937,7,13.428571428571429,7,1,0,1
938,4,12.25,6,1,0,1
939,3,11.0,6,0,0,0
940,5,12.4,6,1,0,2
941,6,12.285714285714286,6,1,1,2
942,0,0.0,5,1,0,1
943,0,0.0,6,1,0,0
944,8,16.075,8,1,1,2
945,6,12.666666666666666,6,1,0,2
946,5,12.833333333333334,5,1,0,2
947,0,0.0,4,0,1,0
948,4,11.5,9,1,0,2
949,0,0.0,5,1,0,0
950,5,11.6,5,1,0,2
951,0,0.0,5,0,0,0
952,6,12.666666666666666,6,1,0,2
953,0,0.0,8,1,0,0
954,4,12.0,11,1,0,0
955,1,11.0,5,1,0,0
956,6,11.666666666666666,6,1,1,2
957,5,13.0,6,1,0,2
958,5,12.666666666666666,5,1,1,2
959,0,0.0,4,0,0,0
960,2,11.5,5,0,0,0
961,14,13.642857142857142,14,1,0,2
962,5,13.2,5,1,0,2
963,2,12.5,5,1,0,1
964,5,10.2,6,1,1,2
965,5,12.4,6,1,0,2
966,0,0.0,5,0,0,0
967,0,0.0,6,1,0,0
968,0,0.0,5,0,0,0
969,2,10.5,5,1,0,1
970,4,14.75,5,1,0,2
971,0,0.0,5,1,0,0
972,0,0.0,5,0,0,0
973,4,15.5,4,1,0,2
974,5,11.125,5,1,0,2
975,3,10.333333333333334,5,0,0,1
976,6,12.666666666666666,7,1,0,2
977,4,13.25,5,1,1,2
978,5,14.666666666666666,5,0,0,0
979,8,12.25,9,1,0,2
980,2,10.5,5,1,0,0
981,5,11.4,5,1,1,1
982,6,12.5,6,1,0,2
983,4,10.833333333333334,5,1,0,1
984,1,16.0,5,1,0,0
985,7,13.714285714285714,8,1,0,2
986,6,15.8,6,1,0,2
987,0,0.0,6,1,0,0
988,2,10.0,6,1,0,0
989,2,13.5,6,0,0,0
990,8,16.327272727272728,8,1,0,2
991,5,14.8,6,1,0,2
992,6,11.0,6,1,0,0
993,6,13.5,6,1,0,2
994,5,14.6,6,1,0,2
995,6,14.333333333333334,6,1,1,2
996,6,13.55,7,1,1,1
997,2,11.5,6,1,0,1
998,5,13.4,6,1,0,2
999,6,13.0,6,1,0,0
1000,0,0.0,6,1,0,0
1001,0,0.0,6,0,0,0
1002,0,0.0,0,1,0,2
1003,3,11.0,5,1,1,2
1004,6,17.428571428571427,6,1,0,0
1005,5,12.0,5,1,0,2
1006,7,15.228571428571428,8,1,1,2
1007,9,13.22222222222222,9,1,0,2
1008,7,14.428571428571429,8,1,1,2
1009,6,13.714285714285714,6,1,0,2
1010,6,13.193333333333332,8,1,0,2
1011,7,12.4125,8,1,0,2
1012,5,12.0,5,1,1,2
1013,0,0.0,6,1,0,0
1014,5,11.6,5,1,1,2
1015,6,12.333333333333334,6,1,0,2
1016,0,0.0,5,1,1,0
1017,11,12.909090909090908,11,1,1,2
1018,0,0.0,6,0,1,0
1019,6,12.285714285714286,6,1,1,2
1020,8,12.98125,8,1,1,2
1021,5,11.2,5,1,0,2
1022,6,11.68,8,1,0,2
1023,6,13.5,6,1,0,2
1024,7,12.857142857142858,7,1,0,2
1025,2,10.5,5,0,0,0
1026,5,11.8,5,1,0,2
1027,5,12.2,6,1,1,2
1028,8,14.875,8,1,0,2
1029,7,13.314285714285717,8,1,1,2
1030,3,10.5,5,1,1,2
1031,4,10.75,6,1,1,1
1032,6,14.142857142857142,6,1,0,2
1033,5,15.571428571428571,5,1,1,2
1034,0,0.0,6,1,0,0
1035,6,14.0,6,1,1,1
1036,0,0.0,6,1,0,0
1037,6,13.166666666666666,6,1,0,2
1038,6,12.833333333333334,6,1,1,2
1039,5,10.6,6,1,0,1
1040,5,10.4,6,1,0,2
1041,7,12.791428571428572,8,1,1,2
1042,5,11.2,7,1,0,2
1043,7,12.43142857142857,8,1,1,2
1044,5,12.2,6,1,0,2
1045,0,0.0,5,1,0,0
1046,6,13.166666666666666,6,1,0,0
1047,7,14.1,8,1,0,2
1048,7,12.94285714285714,8,1,1,2
1049,8,16.0875,8,1,0,2
1050,0,0.0,0,1,1,2
1051,8,15.1,8,1,0,2
1052,8,15.2,8,1,0,0
1053,5,13.0,6,1,0,2
1054,8,15.8625,8,1,1,2
1055,7,14.671428571428574,8,1,1,2
1056,7,12.242857142857144,8,1,1,0
1057,6,14.566666666666668,7,1,0,2
1058,4,11.25,5,0,0,0
1059,7,12.685714285714283,8,1,0,2
1060,4,13.25,9,0,0,0
1061,0,0.0,6,1,0,0
1062,6,11.166666666666666,6,1,0,2
1063,8,14.445,8,1,0,2
1064,4,11.75,6,1,0,1
1065,8,14.625,10,0,0,0
1066,6,13.416666666666666,7,1,1,2
1067,5,11.4,5,1,0,2
1068,8,14.8125,8,1,0,2
1069,5,12.8,6,1,0,2
1070,8,14.75,8,1,1,2
1071,6,14.333333333333334,6,1,1,2
1072,5,12.5,6,1,0,1
1073,5,14.857142857142858,5,1,0,2
1074,6,13.0,6,1,0,2
1075,6,12.0,6,1,0,2
1076,8,12.0,8,0,0,0
1077,1,14.0,6,1,0,0
1078,0,0.0,0,1,0,0
1079,7,13.614285714285714,8,1,1,2
1080,6,12.666666666666666,6,1,1,2
1081,5,11.0,6,1,1,2
1082,4,12.6,6,1,0,1
1083,7,14.857142857142858,7,1,1,2
1084,6,12.625,6,1,1,2
1085,0,0.0,6,1,0,0
1086,6,13.666666666666666,6,1,1,2
1087,6,13.166666666666666,6,1,0,2
1088,6,13.333333333333334,7,1,0,1
1089,0,0.0,0,1,0,1
1090,5,12.0,5,1,0,2
1091,0,0.0,6,1,0,0
1092,6,11.666666666666666,6,1,0,2
1093,6,11.571428571428571,6,1,0,0
1094,8,12.55,8,1,1,2
1095,3,10.666666666666666,6,0,0,0
1096,0,0.0,6,0,0,0
1097,4,11.25,6,1,0,2
1098,6,12.833333333333334,6,1,1,2
1099,8,14.07125,8,1,1,2
1100,5,13.2,5,1,0,0
1101,0,0.0,2,0,0,0
1102,4,10.25,6,1,0,1
1103,7,10.571428571428571,10,1,0,1
1104,5,11.6,6,1,0,2
1105,0,0.0,0,1,0,0
1106,7,14.901428571428571,8,1,1,0
1107,8,12.445555555555554,8,1,1,2
1108,5,10.6,5,0,0,0
1109,5,12.666666666666666,5,1,0,2
1110,6,12.666666666666666,6,1,0,2
1111,7,13.328571428571427,8,1,1,2
1112,6,12.5,7,1,1,1
1113,3,11.333333333333334,5,1,0,1
1114,7,14.051428571428572,8,1,1,2
1115,8,13.11625,8,1,0,2
1116,0,0.0,6,0,0,0
1117,7,13.571428571428571,8,1,0,2
1118,5,11.7,8,1,0,1
1119,6,12.333333333333334,7,1,1,2
1120,5,16.4,6,1,0,1
1121,5,13.2,5,1,0,2
1122,8,13.49375,8,1,0,2
1123,5,13.0,6,1,1,2
1124,6,13.5,6,1,1,2
1125,4,13.0,5,1,1,2
1126,8,16.582222222222224,8,1,0,2
1127,5,11.0,6,0,1,2
1128,5,13.6,5,1,1,2
1129,7,12.114285714285714,8,1,1,2
1130,8,13.05875,8,1,1,2
1131,7,13.285714285714286,8,1,0,2
1132,3,10.666666666666666,5,1,0,1
1133,8,15.1625,8,1,1,2
1134,0,0.0,6,0,0,0
1135,3,11.0,10,0,0,0
1136,6,13.625,6,1,1,2
1137,3,11.666666666666666,6,1,1,0
1138,7,13.297142857142855,8,1,0,2
1139,6,14.25,6,1,0,2
1140,7,12.833333333333334,8,1,0,2
1141,3,11.0,5,1,1,1
1142,4,13.75,5,1,0,0
1143,6,12.571428571428571,6,1,1,2
1144,4,12.625,5,1,1,1
1145,5,12.2,6,1,0,2
1146,0,0.0,0,1,0,1
1147,5,11.4,5,1,0,2
1148,6,12.166666666666666,7,1,0,1
1149,7,13.485714285714284,8,1,0,2
1150,6,11.285714285714286,6,1,1,2
1151,0,0.0,0,1,0,0
1152,3,14.428571428571429,5,1,0,1
1153,5,13.76,7,1,0,1
1154,7,13.258571428571427,8,1,0,2
1155,4,12.0,5,1,0,1
1156,1,10.0,6,0,0,0
1157,6,12.5,6,1,1,2
1158,5,11.833333333333334,6,1,1,2
1159,5,13.285714285714286,5,1,1,2
1160,5,11.8,5,1,0,2
1161,7,12.6375,7,1,0,1
1162,7,14.652857142857142,8,1,0,2
1163,6,11.333333333333334,6,1,1,2
1164,0,0.0,7,0,0,0
1165,8,14.75,8,1,0,2
1166,7,11.142857142857142,8,1,0,0
1167,5,13.0,6,1,0,2
1168,6,13.857142857142858,6,1,1,0
1169,4,11.75,5,1,0,2
1170,5,13.2,5,1,0,2
1171,7,15.07,8,1,1,2
1172,1,12.0,5,1,0,0
1173,5,12.666666666666666,5,1,0,1
1174,4,12.6,6,1,0,2
1175,3,11.25,6,1,0,0
1176,5,12.166666666666666,6,1,0,2
1177,5,14.2,6,1,0,2
1178,2,10.0,7,1,0,0
1179,8,12.5125,8,1,1,2
1180,3,12.333333333333334,7,1,0,0
1181,4,10.5,5,1,0,2
1182,6,11.9,8,1,0,2
1183,5,13.2,9,0,0,0
1184,6,11.933333333333332,8,1,0,1
1185,6,12.285714285714286,6,1,1,2
1186,10,12.96818181818182,10,1,0,1
1187,1,11.0,5,1,0,0
1188,4,11.5,6,1,0,2
1189,6,13.142857142857142,6,1,1,2
1190,0,0.0,5,1,0,0
1191,7,12.04142857142857,8,1,0,2
1192,0,0.0,0,1,1,2
1193,12,14.583333333333334,12,1,0,2
1194,13,15.307692307692308,13,1,0,2
1195,7,12.714285714285714,7,1,0,1
1196,0,0.0,6,0,0,0
1197,3,10.333333333333334,6,1,0,0
1198,6,15.166666666666666,6,0,0,2
1199,6,16.375,6,1,0,2
1200,6,14.714285714285714,6,1,0,2
1201,6,12.166666666666666,6,1,0,2
1202,2,14.8,5,0,0,0
1203,4,11.75,6,1,1,2
1204,0,0.0,6,0,0,0
1205,4,13.625,5,1,0,2
1206,12,12.333333333333334,14,1,0,2
1207,6,12.9,6,1,0,1
1208,0,0.0,6,0,0,0
1209,4,10.5,6,0,0,0
1210,0,0.0,8,0,0,0
1211,5,11.5,6,1,1,1
1212,8,13.63,8,1,1,2
1213,4,11.5,5,1,0,2
1214,7,12.228571428571428,7,1,1,1
1215,8,16.37777777777778,8,1,1,2
1216,4,12.0,6,1,0,2
1217,6,13.285714285714286,6,1,0,2
1218,7,12.764285714285714,8,1,0,2
1219,5,12.166666666666666,5,1,1,2
1220,0,0.0,0,1,0,0
1221,8,15.68333333333333,8,1,1,2
1222,0,0.0,5,0,0,0
1223,6,12.5,6,1,1,2
1224,8,13.57625,8,1,1,2
1225,6,15.833333333333334,6,1,1,2
1226,5,11.6,5,1,0,2
1227,6,12.0,6,1,0,2
1228,8,13.76375,8,1,0,2
1229,5,12.2,9,1,0,1
1230,5,12.2,6,1,1,2
1231,6,11.666666666666666,6,1,0,2
1232,6,14.357142857142858,7,1,0,2
1233,6,12.666666666666666,6,1,0,2
1234,7,13.925714285714283,8,1,0,2
1235,3,11.0,5,1,0,0
1236,8,13.744444444444444,8,1,0,2
1237,0,0.0,5,1,0,0
1238,6,13.2,6,1,0,2
1239,0,0.0,6,1,0,0
1240,4,11.0,4,0,0,0
1241,3,11.666666666666666,5,0,0,0
1242,1,10.0,5,1,0,1
1243,5,13.0,6,1,0,2
1244,1,10.0,5,0,0,0
1245,1,13.0,7,1,0,0
1246,6,12.833333333333334,6,1,1,2
1247,0,0.0,6,1,0,0
1248,1,11.0,6,1,0,1
1249,5,11.8,6,0,0,0
1250,6,16.0,6,1,0,2
1251,6,12.857142857142858,6,1,0,2
1252,5,12.333333333333334,6,1,1,2
1253,6,11.333333333333334,6,1,0,2
1254,4,14.75,5,1,0,1
1255,1,10.0,6,1,1,0
1256,6,12.857142857142858,6,1,0,2
1257,8,13.8,8,1,0,2
1258,7,13.6,8,1,1,2
1259,6,15.875,6,1,0,2
1260,6,11.5,6,1,0,2
1261,2,14.0,6,1,0,0
1262,0,0.0,6,1,0,0
1263,6,16.2,6,1,1,2
1264,7,11.785714285714286,8,1,1,2
1265,8,13.42375,8,1,1,2
1266,5,14.166666666666666,6,1,0,2
1267,7,12.464285714285714,8,1,1,2
1268,5,12.6,9,1,0,1
1269,0,0.0,6,1,0,0
1270,6,12.428571428571429,6,1,0,1
1271,4,12.4,5,1,0,2
1272,4,12.0,5,1,0,0
1273,0,0.0,6,1,0,0
1274,5,12.333333333333334,5,1,0,2
1275,6,13.5,6,1,0,2
1276,5,12.666666666666666,6,1,0,2
1277,5,11.8,5,0,0,0
1278,4,11.5,6,1,1,1
1279,6,12.625,6,1,1,2
1280,6,13.0,6,1,1,2
1281,7,13.024285714285714,8,1,1,2
1282,0,0.0,6,0,0,0
1283,5,18.571428571428573,5,1,1,2
1284,4,11.5,5,1,1,2
1285,6,12.5,7,1,0,0
1286,5,13.8,6,1,1,1
1287,6,11.833333333333334,6,1,0,2
1288,4,11.5,6,1,0,2
1289,7,13.771428571428572,8,1,0,2
1290,6,13.625,6,1,1,1
1291,7,14.285714285714286,8,1,0,2
1292,2,10.0,6,1,0,0
1293,5,17.6,5,1,0,2
1294,0,0.0,6,0,0,0
1295,0,0.0,5,1,0,0
1296,0,0.0,5,1,0,0
1297,5,12.38,7,1,0,0
1298,5,11.8,5,1,0,2
1299,3,12.0,6,1,0,1
1300,0,0.0,5,1,0,0
1301,0,0.0,6,0,0,0
1302,0,0.0,0,1,0,2
1303,8,13.333333333333334,8,1,0,2
1304,6,15.0,6,1,1,2
1305,6,12.833333333333334,6,1,0,2
1306,10,13.3,10,1,1,2
1307,5,12.2,5,1,1,2
1308,7,13.314285714285717,8,1,0,2
1309,7,11.98857142857143,8,1,0,2
1310,8,12.88888888888889,9,1,0,2
1311,6,13.875,6,1,1,2
1312,6,12.833333333333334,6,1,1,2
1313,8,13.411111111111111,8,1,0,0
1314,3,12.0,6,1,0,1
1315,7,14.65,8,1,0,2
1316,4,11.75,5,1,0,1
1317,3,10.666666666666666,6,0,1,0
1318,3,11.0,6,1,1,0
1319,5,11.2,6,1,0,2
1320,6,12.333333333333334,6,1,0,2
1321,6,14.0,7,1,0,1
1322,8,13.76375,8,1,1,2
1323,6,12.8,7,1,1,2
1324,2,12.0,5,1,0,1
1325,6,14.333333333333334,7,1,0,2
1326,2,12.666666666666666,6,1,0,1
1327,0,0.0,6,0,0,0
1328,8,14.622222222222224,8,1,0,2
1329,3,13.75,6,1,0,1
1330,8,13.9125,8,1,1,2
1331,8,13.994444444444444,8,1,0,2
1332,1,12.0,5,0,0,0
1333,4,12.0,6,1,0,1
1334,8,13.333333333333334,8,1,0,2
1335,5,10.4,6,1,0,1
1336,6,11.685714285714283,7,1,1,1
1337,4,12.0,5,0,1,1
1338,5,11.0,6,1,0,0
1339,7,11.4,8,1,1,2
1340,6,11.333333333333334,6,1,1,2
1341,4,12.2,6,1,0,2
1342,4,15.0,5,1,1,2
1343,5,13.5,6,1,1,2
1344,6,11.0,6,0,1,0
1345,6,13.333333333333334,6,1,0,2
1346,6,13.5,6,1,1,2
1347,7,12.5,7,1,1,1
1348,8,13.333333333333334,9,0,0,1
1349,6,12.833333333333334,6,1,1,2
1350,0,0.0,0,1,0,2
1351,7,15.657142857142857,8,1,0,2
1352,6,11.333333333333334,6,1,0,2
1353,0,0.0,6,1,0,0
1354,5,11.166666666666666,6,1,1,1
1355,5,12.666666666666666,6,1,0,1
1356,0,0.0,6,1,0,0
1357,0,0.0,5,0,0,0
1358,0,0.0,0,0,0,0
1359,0,0.0,5,0,0,0
1360,0,0.0,5,1,0,0
1361,7,13.331428571428573,8,1,1,2
1362,0,0.0,6,1,0,0
1363,0,0.0,0,1,0,2
1364,6,13.7,7,1,0,2
1365,0,0.0,5,0,0,0
1366,6,13.875,7,1,0,0
1367,7,12.2,8,1,0,2
1368,4,11.0,5,1,0,0
1369,6,12.857142857142858,6,1,1,2
1370,6,14.0,6,1,0,2
1371,7,15.028571428571428,8,1,0,2
1372,6,11.714285714285714,6,1,0,2
1373,5,12.4,6,1,0,2
1374,3,11.333333333333334,8,0,0,0
1375,0,0.0,0,1,0,0
1376,4,12.5,5,1,0,1
1377,0,0.0,0,1,1,2
1378,0,0.0,6,0,0,0
1379,0,0.0,6,1,0,0
1380,5,12.583333333333334,7,1,0,2
1381,0,0.0,8,0,0,0
1382,13,11.076923076923077,13,1,0,2
1383,6,13.35,7,1,0,2
1384,2,16.0,6,1,1,2
1385,0,0.0,5,1,0,0
1386,0,0.0,4,0,0,0
1387,5,11.833333333333334,5,1,0,2
1388,0,0.0,5,1,0,0
1389,3,10.6,5,1,0,1
1390,8,13.88125,8,1,1,2
1391,5,12.6,6,1,0,2
1392,0,0.0,0,1,0,0
1393,6,13.666666666666666,6,1,0,2
1394,6,12.5,6,1,0,2
1395,6,11.333333333333334,6,1,1,2
1396,6,13.0,6,1,0,1
1397,9,13.77777777777778,9,1,1,2
1398,7,12.228571428571428,7,1,0,2
1399,7,14.142857142857142,7,1,1,2
1400,0,0.0,0,1,0,1
1401,5,12.4,6,1,1,2
1402,5,13.8,5,1,0,2
1403,8,15.06875,8,1,1,2
1404,0,0.0,5,0,0,0
1405,0,0.0,6,1,0,0
1406,7,12.342857142857143,8,1,1,2
1407,5,10.8,6,1,0,1
1408,1,11.0,6,1,0,0
1409,5,11.6,5,1,0,2
1410,0,0.0,6,1,0,0
1411,6,12.0,6,1,1,2
1412,10,11.7,10,1,0,2
1413,3,11.666666666666666,6,1,1,1
1414,8,14.5125,8,1,0,2
1415,4,12.333333333333334,5,1,0,2
1416,0,0.0,6,0,0,0
1417,5,13.6,6,1,0,2
1418,5,11.8,5,1,1,2
1419,5,12.833333333333334,6,1,0,0
1420,5,11.4,6,1,0,0
1421,3,12.666666666666666,5,1,1,1
1422,6,11.833333333333334,6,1,1,2
1423,6,11.5,6,1,0,2
1424,5,13.4,5,1,0,1
1425,0,0.0,0,1,1,2
1426,4,11.5,6,1,0,2
1427,2,13.5,6,1,0,1
1428,4,12.25,6,1,1,1
1429,6,12.833333333333334,6,1,1,2
1430,7,12.90857142857143,8,1,1,2
1431,1,10.0,6,1,0,0
1432,5,11.0,6,1,1,1
1433,6,15.833333333333334,6,1,0,2
1434,6,12.875,8,1,1,1
1435,2,14.0,6,0,0,0
1436,2,11.0,5,1,0,1
1437,6,12.166666666666666,6,1,0,2
1438,6,14.333333333333334,6,1,1,2
1439,5,12.571428571428571,5,1,0,2
1440,4,14.25,5,1,0,2
1441,17,12.055555555555555,17,1,0,2
1442,6,14.666666666666666,6,1,0,2
1443,0,0.0,6,0,0,0
1444,5,13.833333333333334,5,1,0,2
1445,0,0.0,5,0,0,0
1446,0,0.0,0,0,0,0
1447,3,12.333333333333334,5,1,1,0
1448,3,13.666666666666666,6,1,0,0
1449,9,12.555555555555555,9,1,0,2
1450,5,12.166666666666666,6,1,0,0
1451,12,12.307692307692308,12,1,0,2
1452,0,0.0,0,1,0,0
1453,6,11.166666666666666,6,1,1,2
1454,4,12.25,5,1,0,1
1455,0,0.0,5,1,1,0
1456,4,13.0,5,1,0,1
1457,6,12.041666666666666,8,1,0,1
1458,1,10.0,6,1,0,1
1459,0,0.0,5,0,0,0
1460,4,12.5,6,1,0,0
1461,6,12.3,6,1,0,2
1462,4,12.0,5,1,0,1
1463,1,10.0,5,1,0,0
1464,5,10.4,6,1,0,1
1465,8,12.75,11,1,0,2
1466,0,0.0,5,1,0,0
1467,4,14.25,5,1,0,1
1468,6,14.166666666666666,6,1,1,2
1469,6,13.666666666666666,6,1,0,2
1470,4,11.4,5,1,0,1
1471,5,11.5,6,1,0,1
1472,6,12.285714285714286,6,1,1,2
1473,0,0.0,6,1,0,0
1474,2,12.5,5,1,0,1
1475,5,12.6,5,1,0,2
1476,2,11.5,5,1,0,0
1477,11,13.0,11,1,0,2
1478,0,0.0,6,0,0,0
1479,0,0.0,6,1,1,0
1480,5,14.8,8,1,1,0
1481,6,11.333333333333334,6,1,0,2
1482,6,14.428571428571429,6,1,1,2
1483,4,13.4,6,1,1,2
1484,6,10.983333333333334,7,1,1,2
1485,5,11.5,6,1,1,2
1486,7,14.285714285714286,9,0,1,2
1487,5,12.2,6,1,1,1
1488,0,0.0,6,1,0,0
1489,5,14.833333333333334,5,1,0,2
1490,6,13.5,6,1,0,2
1491,6,11.0,6,1,0,2
1492,2,10.5,6,1,0,0
1493,5,13.0,6,1,1,2
1494,0,0.0,7,1,0,0
1495,5,14.142857142857142,5,1,0,2
1496,8,14.6875,8,1,0,2
1497,5,13.0,6,1,0,2
1498,6,12.333333333333334,6,1,0,1
1499,5,12.6,6,1,1,2
1500,6,13.857142857142858,6,1,0,2
1501,0,0.0,6,1,0,0
1502,5,13.833333333333334,5,1,0,2
1503,5,10.84,7,1,0,1
1504,7,12.457142857142856,8,1,0,1
1505,3,12.0,6,0,0,0
1506,4,10.5,5,1,1,1
1507,0,0.0,0,1,0,2
1508,12,13.0,12,1,0,2
1509,0,0.0,8,1,0,0
1510,0,0.0,6,0,0,0
1511,4,12.5,5,1,0,1
1512,0,0.0,0,1,1,2
1513,6,14.333333333333334,6,1,0,2
1514,0,0.0,8,1,0,0
1515,17,14.88888888888889,17,1,1,2
1516,0,0.0,8,0,0,0
1517,11,13.583333333333334,11,1,0,2
1518,0,0.0,0,1,1,1
1519,0,0.0,5,0,0,0
1520,0,0.0,5,1,0,0
1521,5,15.2,5,1,0,2
1522,0,0.0,6,1,0,0
1523,4,11.0,5,1,0,0
1524,0,0.0,0,1,0,1
1525,7,12.828571428571427,8,1,0,2
1526,4,12.6,6,0,0,0
1527,3,12.4,5,1,1,2
1528,4,13.25,6,0,0,2
1529,7,11.328571428571427,8,0,0,0
1530,3,13.0,6,1,0,1
1531,6,13.033333333333331,7,1,0,2
1532,4,11.75,6,1,0,2
1533,3,16.2,5,1,0,1
1534,5,13.6,5,1,0,2
1535,6,12.5,7,1,0,1
1536,0,0.0,7,1,0,0
1537,6,12.0,6,1,1,2
1538,3,11.666666666666666,6,0,0,0
1539,0,0.0,5,0,0,0
1540,4,10.8,5,1,0,0
1541,0,0.0,6,1,0,0
1542,0,0.0,5,1,0,0
1543,0,0.0,6,1,0,0
1544,3,12.0,6,1,0,0
1545,6,12.5,6,1,0,2
1546,5,11.8,6,0,0,1
1547,0,0.0,5,0,0,0
1548,0,0.0,5,0,0,0
1549,0,0.0,8,0,0,0
1550,13,12.0,13,1,1,2
1551,6,10.666666666666666,9,1,0,2
1552,12,10.923076923076923,12,1,0,2
1553,5,13.0,5,1,0,2
1554,6,14.333333333333334,6,1,1,2
1555,8,14.23125,8,1,0,2
1556,0,0.0,5,1,0,0
1557,0,0.0,5,1,0,1
1558,0,0.0,0,1,0,0
1559,8,13.24875,8,1,0,2
1560,4,12.75,7,1,0,1
1561,4,14.25,6,1,0,1
1562,5,12.4,5,1,1,2
1563,2,11.0,6,0,0,1
1564,4,14.0,6,1,0,1
