,Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (enrolled),Tuition fees up to date,Scholarship holder
920,5,10.4,6,1,1
921,6,11.5,6,1,1
922,4,12.25,6,1,0
923,2,10.5,7,0,1
924,3,11.333333333333334,5,1,0
925,6,13.7,7,1,1
926,0,0.0,5,1,0
927,6,12.166666666666666,7,1,0
928,0,0.0,6,1,0
930,2,12.5,5,1,0
931,7,13.285714285714286,7,1,1
932,8,15.11111111111111,8,1,0
933,2,11.5,5,1,0
934,7,11.705714285714285,8,1,0
935,11,14.333333333333334,11,1,0
936,1,10.0,7,1,0
937,7,13.428571428571429,7,1,0
938,4,12.25,6,1,0
939,3,11.0,6,0,0
940,5,12.4,6,1,0
941,6,12.285714285714286,6,1,1
942,0,0.0,5,1,0
943,0,0.0,6,1,0
944,8,16.075,8,1,1
945,6,12.666666666666666,6,1,0
946,5,12.833333333333334,5,1,0
947,0,0.0,4,0,1
948,4,11.5,9,1,0
949,0,0.0,5,1,0
950,5,11.6,5,1,0
951,0,0.0,5,0,0
952,6,12.666666666666666,6,1,0
953,0,0.0,8,1,0
954,4,12.0,11,1,0
955,1,11.0,5,1,0
956,6,11.666666666666666,6,1,1
957,5,13.0,6,1,0
958,5,12.666666666666666,5,1,1
959,0,0.0,4,0,0
960,2,11.5,5,0,0
961,14,13.642857142857142,14,1,0
962,5,13.2,5,1,0
963,2,12.5,5,1,0
964,5,10.2,6,1,1
965,5,12.4,6,1,0
966,0,0.0,5,0,0
967,0,0.0,6,1,0
968,0,0.0,5,0,0
969,2,10.5,5,1,0
970,4,14.75,5,1,0
971,0,0.0,5,1,0
972,0,0.0,5,0,0
973,4,15.5,4,1,0
974,5,11.125,5,1,0
975,3,10.333333333333334,5,0,0
976,6,12.666666666666666,7,1,0
977,4,13.25,5,1,1
978,5,14.666666666666666,5,0,0
979,8,12.25,9,1,0
980,2,10.5,5,1,0
981,5,11.4,5,1,1
982,6,12.5,6,1,0
983,4,10.833333333333334,5,1,0
984,1,16.0,5,1,0
985,7,13.714285714285714,8,1,0
986,6,15.8,6,1,0
987,0,0.0,6,1,0
988,2,10.0,6,1,0
989,2,13.5,6,0,0
990,8,16.327272727272728,8,1,0
991,5,14.8,6,1,0
992,6,11.0,6,1,0
993,6,13.5,6,1,0
994,5,14.6,6,1,0
995,6,14.333333333333334,6,1,1
998,5,13.4,6,1,0
999,6,13.0,6,1,0
1000,0,0.0,6,1,0
1001,0,0.0,6,0,0
1002,0,0.0,0,1,0
1003,3,11.0,5,1,1
1004,6,17.428571428571427,6,1,0
1005,5,12.0,5,1,0
1006,7,15.228571428571428,8,1,1
1007,9,13.22222222222222,9,1,0
1008,7,14.428571428571429,8,1,1
1009,6,13.714285714285714,6,1,0
1010,6,13.193333333333332,8,1,0
1011,7,12.4125,8,1,0
1012,5,12.0,5,1,1
1013,0,0.0,6,1,0
1014,5,11.6,5,1,1
1015,6,12.333333333333334,6,1,0
1016,0,0.0,5,1,1
1017,11,12.909090909090908,11,1,1
1018,0,0.0,6,0,1
1019,6,12.285714285714286,6,1,1
1020,8,12.98125,8,1,1
1021,5,11.2,5,1,0
1022,6,11.68,8,1,0
1023,6,13.5,6,1,0
1024,7,12.857142857142858,7,1,0
1025,2,10.5,5,0,0
1026,5,11.8,5,1,0
1027,5,12.2,6,1,1
1028,8,14.875,8,1,0
1029,7,13.314285714285717,8,1,1
1030,3,10.5,5,1,1
1031,4,10.75,6,1,1
1032,6,14.142857142857142,6,1,0
1033,5,15.571428571428571,5,1,1
1034,0,0.0,6,1,0
1035,6,14.0,6,1,1
1036,0,0.0,6,1,0
1037,6,13.166666666666666,6,1,0
1039,5,10.6,6,1,0
1040,5,10.4,6,1,0
1041,7,12.791428571428572,8,1,1
1042,5,11.2,7,1,0
1043,7,12.43142857142857,8,1,1
1044,5,12.2,6,1,0
1045,0,0.0,5,1,0
1046,6,13.166666666666666,6,1,0
1047,7,14.1,8,1,0
1048,7,12.94285714285714,8,1,1
1049,8,16.0875,8,1,0
1050,0,0.0,0,1,1
1051,8,15.1,8,1,0
1052,8,15.2,8,1,0
1053,5,13.0,6,1,0
1054,8,15.8625,8,1,1
1055,7,14.671428571428574,8,1,1
1056,7,12.242857142857144,8,1,1
1057,6,14.566666666666668,7,1,0
1058,4,11.25,5,0,0
1059,7,12.685714285714283,8,1,0
1060,4,13.25,9,0,0
1061,0,0.0,6,1,0
1062,6,11.166666666666666,6,1,0
1063,8,14.445,8,1,0
1064,4,11.75,6,1,0
1065,8,14.625,10,0,0
1066,6,13.416666666666666,7,1,1
1067,5,11.4,5,1,0
1068,8,14.8125,8,1,0
1069,5,12.8,6,1,0
1070,8,14.75,8,1,1
1071,6,14.333333333333334,6,1,1
1072,5,12.5,6,1,0
1073,5,14.857142857142858,5,1,0
1074,6,13.0,6,1,0
1075,6,12.0,6,1,0
1076,8,12.0,8,0,0
1077,1,14.0,6,1,0
1078,0,0.0,0,1,0
1079,7,13.614285714285714,8,1,1
1080,6,12.666666666666666,6,1,1
1081,5,11.0,6,1,1
1082,4,12.6,6,1,0
1083,7,14.857142857142858,7,1,1
1084,6,12.625,6,1,1
1085,0,0.0,6,1,0
1086,6,13.666666666666666,6,1,1
1087,6,13.166666666666666,6,1,0
1088,6,13.333333333333334,7,1,0
1089,0,0.0,0,1,0
1090,5,12.0,5,1,0
1091,0,0.0,6,1,0
1092,6,11.666666666666666,6,1,0
1093,6,11.571428571428571,6,1,0
1094,8,12.55,8,1,1
1095,3,10.666666666666666,6,0,0
1096,0,0.0,6,0,0
1097,4,11.25,6,1,0
1098,6,12.833333333333334,6,1,1
1099,8,14.07125,8,1,1
1100,5,13.2,5,1,0
1101,0,0.0,2,0,0
1102,4,10.25,6,1,0
1103,7,10.571428571428571,10,1,0
1104,5,11.6,6,1,0
1105,0,0.0,0,1,0
1106,7,14.901428571428571,8,1,1
1107,8,12.445555555555554,8,1,1
1108,5,10.6,5,0,0
1109,5,12.666666666666666,5,1,0
1110,6,12.666666666666666,6,1,0
1111,7,13.328571428571427,8,1,1
1112,6,12.5,7,1,1
1113,3,11.333333333333334,5,1,0
1114,7,14.051428571428572,8,1,1
1115,8,13.11625,8,1,0
1116,0,0.0,6,0,0
1117,7,13.571428571428571,8,1,0
1118,5,11.7,8,1,0
1119,6,12.333333333333334,7,1,1
1120,5,16.4,6,1,0
1121,5,13.2,5,1,0
1122,8,13.49375,8,1,0
1123,5,13.0,6,1,1
1124,6,13.5,6,1,1
1125,4,13.0,5,1,1
1126,8,16.582222222222224,8,1,0
1127,5,11.0,6,0,1
1128,5,13.6,5,1,1
1130,8,13.05875,8,1,1
1131,7,13.285714285714286,8,1,0
1132,3,10.666666666666666,5,1,0
1133,8,15.1625,8,1,1
1134,0,0.0,6,0,0
1135,3,11.0,10,0,0
1136,6,13.625,6,1,1
1137,3,11.666666666666666,6,1,1
1138,7,13.297142857142855,8,1,0
1139,6,14.25,6,1,0
1140,7,12.833333333333334,8,1,0
1141,3,11.0,5,1,1
1142,4,13.75,5,1,0
1143,6,12.571428571428571,6,1,1
1144,4,12.625,5,1,1
1145,5,12.2,6,1,0
1146,0,0.0,0,1,0
1147,5,11.4,5,1,0
1148,6,12.166666666666666,7,1,0
1149,7,13.485714285714284,8,1,0
1150,6,11.285714285714286,6,1,1
1151,0,0.0,0,1,0
1152,3,14.428571428571429,5,1,0
1153,5,13.76,7,1,0
1154,7,13.258571428571427,8,1,0
1155,4,12.0,5,1,0
1156,1,10.0,6,0,0
1157,6,12.5,6,1,1
1158,5,11.833333333333334,6,1,1
1159,5,13.285714285714286,5,1,1
1160,5,11.8,5,1,0
1161,7,12.6375,7,1,0
1162,7,14.652857142857142,8,1,0
1163,6,11.333333333333334,6,1,1
1164,0,0.0,7,0,0
1165,8,14.75,8,1,0
1166,7,11.142857142857142,8,1,0
1167,5,13.0,6,1,0
1168,6,13.857142857142858,6,1,1
1169,4,11.75,5,1,0
1170,5,13.2,5,1,0
1171,7,15.07,8,1,1
1172,1,12.0,5,1,0
1173,5,12.666666666666666,5,1,0
1174,4,12.6,6,1,0
1175,3,11.25,6,1,0
1176,5,12.166666666666666,6,1,0
1177,5,14.2,6,1,0
1178,2,10.0,7,1,0
1179,8,12.5125,8,1,1
1180,3,12.333333333333334,7,1,0
1181,4,10.5,5,1,0
1182,6,11.9,8,1,0
1183,5,13.2,9,0,0
1184,6,11.933333333333332,8,1,0
1185,6,12.285714285714286,6,1,1
1186,10,12.96818181818182,10,1,0
1187,1,11.0,5,1,0
1188,4,11.5,6,1,0
1189,6,13.142857142857142,6,1,1
1190,0,0.0,5,1,0
1191,7,12.04142857142857,8,1,0
1192,0,0.0,0,1,1
1193,12,14.583333333333334,12,1,0
1194,13,15.307692307692308,13,1,0
1195,7,12.714285714285714,7,1,0
1196,0,0.0,6,0,0
1197,3,10.333333333333334,6,1,0
1198,6,15.166666666666666,6,0,0
1199,6,16.375,6,1,0
1200,6,14.714285714285714,6,1,0
1201,6,12.166666666666666,6,1,0
1202,2,14.8,5,0,0
1203,4,11.75,6,1,1
1204,0,0.0,6,0,0
1205,4,13.625,5,1,0
1206,12,12.333333333333334,14,1,0
1207,6,12.9,6,1,0
1208,0,0.0,6,0,0
1209,4,10.5,6,0,0
1210,0,0.0,8,0,0
1211,5,11.5,6,1,1
1212,8,13.63,8,1,1
1213,4,11.5,5,1,0
1214,7,12.228571428571428,7,1,1
1215,8,16.37777777777778,8,1,1
1216,4,12.0,6,1,0
1217,6,13.285714285714286,6,1,0
1218,7,12.764285714285714,8,1,0
1219,5,12.166666666666666,5,1,1
1220,0,0.0,0,1,0
1221,8,15.68333333333333,8,1,1
1222,0,0.0,5,0,0
1223,6,12.5,6,1,1
1224,8,13.57625,8,1,1
1225,6,15.833333333333334,6,1,1
1226,5,11.6,5,1,0
1227,6,12.0,6,1,0
1228,8,13.76375,8,1,0
1229,5,12.2,9,1,0
1230,5,12.2,6,1,1
1231,6,11.666666666666666,6,1,0
1232,6,14.357142857142858,7,1,0
1233,6,12.666666666666666,6,1,0
1234,7,13.925714285714283,8,1,0
1235,3,11.0,5,1,0
1236,8,13.744444444444444,8,1,0
1237,0,0.0,5,1,0
1238,6,13.2,6,1,0
1239,0,0.0,6,1,0
1240,4,11.0,4,0,0
1241,3,11.666666666666666,5,0,0
1242,1,10.0,5,1,0
1243,5,13.0,6,1,0
1244,1,10.0,5,0,0
1245,1,13.0,7,1,0
1246,6,12.833333333333334,6,1,1
1247,0,0.0,6,1,0
1248,1,11.0,6,1,0
1249,5,11.8,6,0,0
1250,6,16.0,6,1,0
1251,6,12.857142857142858,6,1,0
1252,5,12.333333333333334,6,1,1
1253,6,11.333333333333334,6,1,0
1255,1,10.0,6,1,1
1256,6,12.857142857142858,6,1,0
1257,8,13.8,8,1,0
1258,7,13.6,8,1,1
1259,6,15.875,6,1,0
1260,6,11.5,6,1,0
1261,2,14.0,6,1,0
1262,0,0.0,6,1,0
1263,6,16.2,6,1,1
1264,7,11.785714285714286,8,1,1
1265,8,13.42375,8,1,1
1266,5,14.166666666666666,6,1,0
1267,7,12.464285714285714,8,1,1
1268,5,12.6,9,1,0
1269,0,0.0,6,1,0
1270,6,12.428571428571429,6,1,0
1271,4,12.4,5,1,0
1272,4,12.0,5,1,0
1273,0,0.0,6,1,0
1274,5,12.333333333333334,5,1,0
1275,6,13.5,6,1,0
1276,5,12.666666666666666,6,1,0
1277,5,11.8,5,0,0
1278,4,11.5,6,1,1
1279,6,12.625,6,1,1
1280,6,13.0,6,1,1
1281,7,13.024285714285714,8,1,1
1282,0,0.0,6,0,0
1283,5,18.571428571428573,5,1,1
1284,4,11.5,5,1,1
1285,6,12.5,7,1,0
1286,5,13.8,6,1,1
1287,6,11.833333333333334,6,1,0
1288,4,11.5,6,1,0
1289,7,13.771428571428572,8,1,0
1290,6,13.625,6,1,1
1291,7,14.285714285714286,8,1,0
1292,2,10.0,6,1,0
1294,0,0.0,6,0,0
1295,0,0.0,5,1,0
1296,0,0.0,5,1,0
1297,5,12.38,7,1,0
1298,5,11.8,5,1,0
1299,3,12.0,6,1,0
1300,0,0.0,5,1,0
1301,0,0.0,6,0,0
1302,0,0.0,0,1,0
1303,8,13.333333333333334,8,1,0
1304,6,15.0,6,1,1
1305,6,12.833333333333334,6,1,0
1306,10,13.3,10,1,1
1307,5,12.2,5,1,1
1308,7,13.314285714285717,8,1,0
1309,7,11.98857142857143,8,1,0
1310,8,12.88888888888889,9,1,0
1311,6,13.875,6,1,1
1312,6,12.833333333333334,6,1,1
1313,8,13.411111111111111,8,1,0
1314,3,12.0,6,1,0
1315,7,14.65,8,1,0
1316,4,11.75,5,1,0
1318,3,11.0,6,1,1
1319,5,11.2,6,1,0
1320,6,12.333333333333334,6,1,0
1322,8,13.76375,8,1,1
1323,6,12.8,7,1,1
1324,2,12.0,5,1,0
1325,6,14.333333333333334,7,1,0
1326,2,12.666666666666666,6,1,0
1327,0,0.0,6,0,0
1328,8,14.622222222222224,8,1,0
1329,3,13.75,6,1,0
1330,8,13.9125,8,1,1
1331,8,13.994444444444444,8,1,0
1332,1,12.0,5,0,0
1333,4,12.0,6,1,0
1334,8,13.333333333333334,8,1,0
1335,5,10.4,6,1,0
1336,6,11.685714285714283,7,1,1
1337,4,12.0,5,0,1
1338,5,11.0,6,1,0
1339,7,11.4,8,1,1
1340,6,11.333333333333334,6,1,1
1341,4,12.2,6,1,0
1342,4,15.0,5,1,1
1343,5,13.5,6,1,1
1344,6,11.0,6,0,1
1345,6,13.333333333333334,6,1,0
1346,6,13.5,6,1,1
1347,7,12.5,7,1,1
1348,8,13.333333333333334,9,0,0
1349,6,12.833333333333334,6,1,1
1350,0,0.0,0,1,0
1351,7,15.657142857142857,8,1,0
1352,6,11.333333333333334,6,1,0
1353,0,0.0,6,1,0
1354,5,11.166666666666666,6,1,1
1355,5,12.666666666666666,6,1,0
1356,0,0.0,6,1,0
1357,0,0.0,5,0,0
1358,0,0.0,0,0,0
1359,0,0.0,5,0,0
1361,7,13.331428571428573,8,1,1
1362,0,0.0,6,1,0
1363,0,0.0,0,1,0
1364,6,13.7,7,1,0
1365,0,0.0,5,0,0
1366,6,13.875,7,1,0
1367,7,12.2,8,1,0
1368,4,11.0,5,1,0
1369,6,12.857142857142858,6,1,1
1370,6,14.0,6,1,0
1371,7,15.028571428571428,8,1,0
1372,6,11.714285714285714,6,1,0
1373,5,12.4,6,1,0
1374,3,11.333333333333334,8,0,0
1375,0,0.0,0,1,0
1376,4,12.5,5,1,0
1377,0,0.0,0,1,1
1378,0,0.0,6,0,0
1379,0,0.0,6,1,0
1380,5,12.583333333333334,7,1,0
1381,0,0.0,8,0,0
1382,13,11.076923076923077,13,1,0
1383,6,13.35,7,1,0
1384,2,16.0,6,1,1
1385,0,0.0,5,1,0
1386,0,0.0,4,0,0
1387,5,11.833333333333334,5,1,0
1388,0,0.0,5,1,0
1389,3,10.6,5,1,0
1390,8,13.88125,8,1,1
1391,5,12.6,6,1,0
1392,0,0.0,0,1,0
1393,6,13.666666666666666,6,1,0
1394,6,12.5,6,1,0
1395,6,11.333333333333334,6,1,1
1396,6,13.0,6,1,0
1397,9,13.77777777777778,9,1,1
1398,7,12.228571428571428,7,1,0
1399,7,14.142857142857142,7,1,1
1400,0,0.0,0,1,0
1401,5,12.4,6,1,1
1402,5,13.8,5,1,0
1403,8,15.06875,8,1,1
1404,0,0.0,5,0,0
1405,0,0.0,6,1,0
1406,7,12.342857142857143,8,1,1
1407,5,10.8,6,1,0
1408,1,11.0,6,1,0
1409,5,11.6,5,1,0
1410,0,0.0,6,1,0
1411,6,12.0,6,1,1
1412,10,11.7,10,1,0
1413,3,11.666666666666666,6,1,1
1414,8,14.5125,8,1,0
1415,4,12.333333333333334,5,1,0
1416,0,0.0,6,0,0
1417,5,13.6,6,1,0
1418,5,11.8,5,1,1
1419,5,12.833333333333334,6,1,0
1420,5,11.4,6,1,0
1421,3,12.666666666666666,5,1,1
1422,6,11.833333333333334,6,1,1
1423,6,11.5,6,1,0
1424,5,13.4,5,1,0
1425,0,0.0,0,1,1
1426,4,11.5,6,1,0
1427,2,13.5,6,1,0
1428,4,12.25,6,1,1
1429,6,12.833333333333334,6,1,1
1430,7,12.90857142857143,8,1,1
1431,1,10.0,6,1,0
1432,5,11.0,6,1,1
1433,6,15.833333333333334,6,1,0
1434,6,12.875,8,1,1
1435,2,14.0,6,0,0
1436,2,11.0,5,1,0
1437,6,12.166666666666666,6,1,0
1438,6,14.333333333333334,6,1,1
1439,5,12.571428571428571,5,1,0
1440,4,14.25,5,1,0
1441,17,12.055555555555555,17,1,0
1442,6,14.666666666666666,6,1,0
1443,0,0.0,6,0,0
1444,5,13.833333333333334,5,1,0
1445,0,0.0,5,0,0
1446,0,0.0,0,0,0
1447,3,12.333333333333334,5,1,1
1448,3,13.666666666666666,6,1,0
1449,9,12.555555555555555,9,1,0
1450,5,12.166666666666666,6,1,0
1451,12,12.307692307692308,12,1,0
1452,0,0.0,0,1,0
1453,6,11.166666666666666,6,1,1
1454,4,12.25,5,1,0
1455,0,0.0,5,1,1
1456,4,13.0,5,1,0
1457,6,12.041666666666666,8,1,0
1458,1,10.0,6,1,0
1459,0,0.0,5,0,0
1460,4,12.5,6,1,0
1461,6,12.3,6,1,0
1462,4,12.0,5,1,0
1463,1,10.0,5,1,0
1464,5,10.4,6,1,0
1465,8,12.75,11,1,0
1466,0,0.0,5,1,0
1467,4,14.25,5,1,0
1468,6,14.166666666666666,6,1,1
1469,6,13.666666666666666,6,1,0
1470,4,11.4,5,1,0
1471,5,11.5,6,1,0
1472,6,12.285714285714286,6,1,1
1473,0,0.0,6,1,0
1474,2,12.5,5,1,0
1475,5,12.6,5,1,0
1476,2,11.5,5,1,0
1477,11,13.0,11,1,0
1478,0,0.0,6,0,0
1479,0,0.0,6,1,1
1480,5,14.8,8,1,1
1481,6,11.333333333333334,6,1,0
1482,6,14.428571428571429,6,1,1
1483,4,13.4,6,1,1
1484,6,10.983333333333334,7,1,1
1485,5,11.5,6,1,1
1486,7,14.285714285714286,9,0,1
1487,5,12.2,6,1,1
1488,0,0.0,6,1,0
1489,5,14.833333333333334,5,1,0
1490,6,13.5,6,1,0
1491,6,11.0,6,1,0
1492,2,10.5,6,1,0
1493,5,13.0,6,1,1
1494,0,0.0,7,1,0
1495,5,14.142857142857142,5,1,0
1496,8,14.6875,8,1,0
1497,5,13.0,6,1,0
1498,6,12.333333333333334,6,1,0
1499,5,12.6,6,1,1
1500,6,13.857142857142858,6,1,0
1501,0,0.0,6,1,0
1502,5,13.833333333333334,5,1,0
1503,5,10.84,7,1,0
1504,7,12.457142857142856,8,1,0
1505,3,12.0,6,0,0
1506,4,10.5,5,1,1
1507,0,0.0,0,1,0
1508,12,13.0,12,1,0
1509,0,0.0,8,1,0
1510,0,0.0,6,0,0
1511,4,12.5,5,1,0
1512,0,0.0,0,1,1
1513,6,14.333333333333334,6,1,0
1514,0,0.0,8,1,0
1515,17,14.88888888888889,17,1,1
1516,0,0.0,8,0,0
1517,11,13.583333333333334,11,1,0
1518,0,0.0,0,1,1
1519,0,0.0,5,0,0
1520,0,0.0,5,1,0
1521,5,15.2,5,1,0
1522,0,0.0,6,1,0
1523,4,11.0,5,1,0
1524,0,0.0,0,1,0
1525,7,12.828571428571427,8,1,0
1526,4,12.6,6,0,0
1527,3,12.4,5,1,1
1528,4,13.25,6,0,0
1529,7,11.328571428571427,8,0,0
1530,3,13.0,6,1,0
1531,6,13.033333333333331,7,1,0
1532,4,11.75,6,1,0
1533,3,16.2,5,1,0
1534,5,13.6,5,1,0
1535,6,12.5,7,1,0
1536,0,0.0,7,1,0
1537,6,12.0,6,1,1
1538,3,11.666666666666666,6,0,0
1539,0,0.0,5,0,0
1540,4,10.8,5,1,0
1541,0,0.0,6,1,0
1542,0,0.0,5,1,0
1543,0,0.0,6,1,0
1544,3,12.0,6,1,0
1545,6,12.5,6,1,0
1546,5,11.8,6,0,0
1547,0,0.0,5,0,0
1548,0,0.0,5,0,0
1549,0,0.0,8,0,0
1550,13,12.0,13,1,1
1551,6,10.666666666666666,9,1,0
1552,12,10.923076923076923,12,1,0
1553,5,13.0,5,1,0
1554,6,14.333333333333334,6,1,1
1555,8,14.23125,8,1,0
1556,0,0.0,5,1,0
1557,0,0.0,5,1,0
1558,0,0.0,0,1,0
1559,8,13.24875,8,1,0
1560,4,12.75,7,1,0
1561,4,14.25,6,1,0
1562,5,12.4,5,1,1
1563,2,11.0,6,0,0
1564,4,14.0,6,1,0
1565,6,12.166666666666666,6,1,1
1566,8,15.61111111111111,8,1,1
1567,5,11.4,5,1,0
1568,2,11.666666666666666,7,1,0
1570,7,13.857142857142858,7,1,0
1571,0,0.0,6,0,0
1572,0,0.0,5,0,0
1573,4,11.75,6,0,0
1574,5,12.4,9,1,0
1575,0,0.0,0,1,0
1576,4,13.75,6,1,0
1577,4,13.0,5,1,0
1578,3,12.0,5,0,0
1579,0,0.0,0,1,1
1580,6,14.166666666666666,6,1,1
1581,4,11.0,6,1,0
1582,1,11.0,5,1,0
1583,5,11.2,6,1,1
1584,6,13.0,6,1,1
1585,0,0.0,0,1,0
1586,4,12.25,5,1,0
1587,3,10.8,5,1,0
1588,1,12.0,6,1,0
1589,6,12.166666666666666,6,1,0
1590,0,0.0,6,1,0
1591,0,0.0,0,1,0
1592,2,10.333333333333334,5,1,0
1593,0,0.0,0,0,1
1594,4,11.75,5,1,0
1595,4,11.0,5,1,0
1596,6,12.5,8,1,0
1597,6,16.142857142857142,6,1,1
1598,5,11.8,6,1,0
1599,3,11.333333333333334,6,1,0
1600,0,0.0,0,1,0
1601,4,14.25,6,1,0
1602,3,10.333333333333334,6,1,0
1603,5,13.6,6,1,0
1604,0,0.0,6,0,0
1605,8,11.625,10,1,0
1606,6,13.0,6,1,0
1607,8,12.8875,8,1,0
1608,5,13.6,6,1,0
1609,6,12.571428571428571,6,1,0
1610,2,12.5,5,1,0
1611,5,12.4,5,1,0
1612,8,12.28125,8,1,0
1613,0,0.0,5,0,0
1614,6,11.5,6,1,1
1615,2,11.0,6,1,0
1616,4,14.5,5,1,0
1617,5,11.8,6,1,0
1618,6,13.0,6,1,1
1619,5,11.8,8,1,1
1620,5,14.5,6,1,0
1621,5,13.0,5,1,0
1622,4,11.25,7,0,0
1623,4,11.75,7,1,0
1624,9,10.444444444444445,13,1,0
1625,0,0.0,5,0,0
1626,5,12.77777777777778,6,1,1
1627,4,11.0,7,1,0
1628,4,12.75,5,0,0
1629,0,0.0,5,1,0
1630,4,11.75,5,1,0
1631,0,0.0,4,0,0
1632,5,14.2,5,1,0
1633,11,12.818181818181818,11,1,0
1634,5,11.8,5,1,0
1635,6,13.333333333333334,6,1,1
1636,4,13.0,5,1,0
1637,7,11.65,8,1,1
1638,0,0.0,5,1,0
1639,11,14.818181818181818,12,1,0
1640,8,12.91111111111111,8,1,1
1641,6,14.857142857142858,6,1,0
1642,8,14.655555555555557,8,1,0
1643,6,11.0,6,1,0
1644,1,11.0,6,1,0
1645,0,0.0,0,1,0
1646,11,14.5,11,1,0
1647,8,14.3875,8,1,1
1648,7,12.142857142857142,8,1,0
1649,7,14.36,8,1,1
1650,7,14.514285714285714,8,1,0
1651,7,14.7,8,1,0
1652,5,14.0,5,1,0
1653,8,15.0625,8,1,1
1654,0,0.0,6,1,0
1655,5,12.6,5,1,0
1656,5,13.0,5,1,0
1657,2,10.5,5,1,0
1658,0,0.0,0,1,1
1659,0,0.0,0,1,0
1660,7,14.142857142857142,9,1,0
1661,6,15.666666666666666,6,1,0
1662,8,15.7425,8,1,0
1663,8,15.075,8,1,1
1664,4,11.75,5,1,0
1665,5,15.0,6,1,0
1666,6,12.333333333333334,6,1,1
1667,8,13.76125,8,1,0
1668,5,10.0,9,0,0
1669,5,13.0,6,1,1
1670,4,11.0,5,1,0
1671,6,14.0,6,1,0
1672,4,12.0,6,0,0
1673,8,14.077777777777778,8,1,0
1674,6,12.766666666666666,7,1,0
1675,0,0.0,6,0,0
1676,0,0.0,7,1,0
1677,5,12.6,5,1,1
1678,5,13.4,5,1,0
1679,0,0.0,7,1,0
1680,2,14.0,5,1,0
1681,3,12.666666666666666,6,1,0
1682,5,11.6,5,1,0
1683,4,12.75,5,1,0
1684,5,13.0,6,1,0
1685,6,15.0,6,1,0
1686,5,12.285714285714286,5,1,0
1687,0,0.0,5,0,0
1688,0,0.0,0,1,0
1689,0,0.0,0,1,0
1690,0,0.0,5,1,0
1691,0,0.0,6,0,0
1692,8,14.022222222222222,8,1,1
1693,4,12.4,5,1,0
1694,0,0.0,5,1,0
1695,6,13.285714285714286,6,1,1
1696,6,12.166666666666666,6,1,0
1697,0,0.0,5,1,0
1698,0,0.0,8,1,0
1700,8,15.63375,8,1,1
1701,6,14.5,6,1,0
1702,0,0.0,6,1,0
1703,6,11.5,6,1,0
1704,6,13.0,6,1,1
1705,3,11.0,5,1,0
1706,0,0.0,0,1,0
1707,4,12.25,5,1,0
1708,4,13.125,7,1,0
1709,6,12.45,7,1,0
1710,7,12.0,7,1,0
1711,8,13.38125,8,1,1
1712,5,11.34,6,0,0
1713,2,11.5,6,0,0
1714,6,12.166666666666666,6,1,1
1715,8,13.3425,8,1,0
1716,6,13.03125,8,1,1
1717,1,10.0,8,1,1
1718,2,14.5,5,1,0
1719,0,0.0,5,1,0
1720,5,12.142857142857142,5,1,0
1721,5,11.4,6,1,1
1722,12,15.428571428571429,12,1,0
1723,5,12.4,6,1,1
1724,17,12.666666666666666,17,1,0
1725,4,12.0,5,1,0
1726,13,13.357142857142858,13,1,1
1727,4,10.75,6,1,1
1728,0,0.0,6,0,0
1729,13,12.846153846153848,13,1,0
1730,5,12.8,5,1,0
1731,3,12.0,5,0,0
1732,2,12.5,5,1,0
1733,9,11.0,11,1,0
1734,3,11.428571428571429,5,0,0
1735,8,13.125,9,1,0
1737,7,13.75,8,1,0
1738,6,13.833333333333334,6,1,0
1739,0,0.0,6,0,0
1740,3,12.666666666666666,6,1,0
1741,2,12.0,6,1,0
1742,5,13.333333333333334,6,1,0
1743,2,10.0,6,0,0
1744,0,0.0,6,0,0
1745,3,10.0,6,1,0
1746,4,11.5,6,0,0
1747,0,0.0,6,0,0
1748,0,0.0,6,0,0
1749,10,12.4,15,1,0
1750,4,12.25,8,1,0
1751,0,0.0,0,1,1
1752,4,12.0,6,1,0
1753,2,10.5,5,1,0
1754,0,0.0,5,0,0
1755,5,14.2,5,0,1
1756,10,12.272727272727272,11,1,0
1757,0,0.0,6,0,0
1758,6,15.0,6,1,0
1759,7,12.6,8,1,1
1760,6,11.833333333333334,6,1,0
1761,0,0.0,0,1,1
1762,6,16.5,6,1,0
1763,4,11.25,5,1,0
1764,9,12.6,9,1,1
1765,0,0.0,5,1,0
1766,1,14.0,7,0,0
1767,6,13.666666666666666,6,0,0
1768,0,0.0,8,1,0
1769,3,10.333333333333334,8,1,0
1770,5,12.0,6,1,1
1771,4,10.0,5,1,0
1772,6,14.428571428571429,6,1,1
1773,4,12.0,6,1,0
1774,3,10.0,6,1,0
1775,0,0.0,4,0,0
1776,7,11.428571428571429,7,1,0
1777,5,12.0,5,1,0
1778,4,11.0,5,1,0
1779,8,14.5,8,1,0
1780,5,12.25,6,1,0
1781,6,11.166666666666666,6,1,1
1782,7,15.57,8,1,0
1783,2,12.0,5,1,0
1784,8,15.91111111111111,8,1,0
1785,4,11.5,5,1,0
1786,0,0.0,6,1,0
1787,4,13.75,5,1,0
1788,0,0.0,6,1,0
1789,6,11.333333333333334,6,1,1
1790,7,13.075714285714286,8,1,0
1791,0,0.0,5,1,0
1792,2,13.5,5,1,0
1793,0,0.0,6,1,0
1794,6,12.333333333333334,7,1,0
